id,confidence,band,topic,wd,imp,nov,pr,dp,chars,flags
00000001461,0.5,medium,analysis / PDE / dynamics,0,3,1,3,3,296,meta|no_def|no_quant
00000001521,0.5,medium,general / other,1,1,3,2,4,220,no_def|short|no_quant
00000001558,0.5,medium,general / other,4,3,1,3,4,454,meta
00000001570,0.5,medium,general / other,2,2,1,2,4,346,meta|no_quant
00000001764,0.5,medium,general / other,2,2,1,2,4,458,meta|no_quant
00000001880,0.5,medium,general / other,3,4,2,5,4,232,no_def|short|grand
00000001913,0.5,medium,general / other,1,1,3,2,4,303,no_def|vague_x3|no_quant
00000001927,0.5,medium,general / other,1,1,3,2,4,219,no_def|short|no_quant
00000001938,0.5,medium,topology / geometry,3,2,3,2,3,455,bare_latex|vague_x3
00000001943,0.5,medium,number theory,1,2,3,2,2,469,bare_latex|vague_x3|no_quant
00000001964,0.5,medium,general / other,1,1,3,2,3,247,no_def|short|no_quant
00000002179,0.5,medium,general / other,1,1,3,2,4,246,no_def|short|no_quant
00000002180,0.5,medium,general / other,1,1,2,2,4,248,no_def|short|no_quant
00000002202,0.5,medium,general / other,2,2,1,2,3,337,meta|no_quant
00000002227,0.5,medium,number theory,2,3,1,2,2,379,meta|no_def
00000002272,0.5,medium,probability,1,2,1,2,3,354,meta|no_def|no_quant
00000002274,0.5,medium,general / other,1,1,3,2,3,261,no_def|vague_x3|no_quant
00000002300,0.5,medium,general / other,1,1,3,2,3,194,no_def|short|no_quant
00000004199,0.5,medium,general / other,2,2,1,2,3,496,meta|no_quant
00000004427,0.5,medium,general / other,2,2,1,2,5,471,meta|no_quant
00000008022,0.5,medium,general / other,2,2,1,2,3,1028,meta|no_quant
00000008867,0.5,medium,general / other,4,2,1,2,4,698,meta
00000009533,0.5,medium,general / other,4,3,1,3,3,760,meta
00000009911,0.5,medium,general / other,2,2,1,2,5,682,meta|no_quant
00000002140,0.55,medium,analysis / PDE / dynamics,1,2,3,2,4,313,bare_latex|no_def|no_quant
00000002189,0.55,medium,general / other,2,2,3,2,3,364,bare_latex|no_quant
00000002404,0.55,medium,analysis / PDE / dynamics,1,3,3,3,3,345,bare_latex|no_def|no_quant
00000002415,0.55,medium,number theory,2,3,3,2,2,348,bare_latex|no_def
00000000004,0.6,medium,number theory,3,2,3,2,2,187,no_def|short
00000000005,0.6,medium,number theory,3,2,3,2,2,190,no_def|short
00000000009,0.6,medium,number theory,1,1,3,2,3,208,no_def|short|no_quant
00000000013,0.6,medium,number theory,3,2,3,2,2,234,no_def|short
00000000014,0.6,medium,number theory,3,2,3,2,2,213,no_def|short
00000000015,0.6,medium,number theory,1,1,3,2,4,194,no_def|short|no_quant
00000000019,0.6,medium,number theory,3,2,3,2,2,203,no_def|short
00000000026,0.6,medium,number theory,3,2,3,2,2,160,no_def|short
00000000027,0.6,medium,number theory,1,1,3,2,5,226,no_def|short|no_quant
00000000033,0.6,medium,number theory,3,2,3,2,2,200,no_def|short
00000000034,0.6,medium,number theory,3,2,3,2,2,214,no_def|short
00000000035,0.6,medium,number theory,3,2,3,2,3,243,no_def|short
00000000037,0.6,medium,number theory,3,2,3,2,4,165,no_def|short
00000000039,0.6,medium,number theory,2,2,3,2,2,171,no_def|short
00000000045,0.6,medium,number theory,2,3,3,3,5,241,no_def|short
00000000046,0.6,medium,combinatorics / discrete,1,1,3,2,4,178,no_def|short|no_quant
00000000047,0.6,medium,number theory,2,2,3,2,3,239,no_def|short
00000000049,0.6,medium,number theory,3,2,3,2,3,220,no_def|short
00000000050,0.6,medium,number theory,3,2,3,2,2,195,no_def|short
00000000051,0.6,medium,number theory,3,2,3,2,3,224,no_def|short
00000000054,0.6,medium,combinatorics / discrete,1,1,3,2,3,211,no_def|short|no_quant
00000000057,0.6,medium,number theory,3,2,3,2,2,226,no_def|short
00000000058,0.6,medium,number theory,3,2,3,2,2,185,no_def|short
00000000062,0.6,medium,number theory,1,1,3,2,2,162,no_def|short|no_quant
00000000063,0.6,medium,number theory,1,1,3,2,3,219,no_def|short|no_quant
00000000064,0.6,medium,number theory,1,2,3,3,2,144,no_def|short|no_quant
00000000067,0.6,medium,analysis / PDE / dynamics,3,3,3,3,2,224,no_def|short
00000000068,0.6,medium,analysis / PDE / dynamics,1,1,3,2,4,240,no_def|short|no_quant
00000000078,0.6,medium,number theory,1,1,3,2,3,245,no_def|short|no_quant
00000000080,0.6,medium,combinatorics / discrete,1,2,3,3,2,247,no_def|short|no_quant
00000000081,0.6,medium,number theory,1,1,3,1,2,205,no_def|short|no_quant
00000000087,0.6,medium,number theory,3,2,3,2,3,226,no_def|short
00000000091,0.6,medium,number theory,3,2,3,2,2,219,no_def|short
00000000095,0.6,medium,number theory,3,2,3,2,4,196,no_def|short
00000000101,0.6,medium,number theory,3,2,3,2,2,206,no_def|short
00000000102,0.6,medium,number theory,1,1,3,2,4,159,no_def|short|no_quant
00000000103,0.6,medium,number theory,3,2,3,2,4,241,no_def|short
00000000105,0.6,medium,number theory,3,3,3,2,4,238,no_def|short
00000000107,0.6,medium,number theory,3,2,3,2,4,225,no_def|short
00000000110,0.6,medium,number theory,3,2,3,2,2,239,no_def|short
00000000115,0.6,medium,number theory,3,2,3,2,2,249,no_def|short
00000000116,0.6,medium,number theory,3,2,3,2,3,222,no_def|short
00000000117,0.6,medium,number theory,3,2,3,2,2,245,no_def|short
00000000118,0.6,medium,number theory,3,2,3,2,3,235,no_def|short
00000000119,0.6,medium,number theory,3,2,3,2,3,223,no_def|short
00000000120,0.6,medium,number theory,3,2,3,2,3,236,no_def|short
00000000121,0.6,medium,number theory,3,2,3,2,3,192,no_def|short
00000000128,0.6,medium,number theory,3,2,3,2,3,172,no_def|short
00000000130,0.6,medium,number theory,3,2,3,2,2,199,no_def|short
00000000131,0.6,medium,number theory,1,1,3,2,3,230,no_def|short|no_quant
00000000132,0.6,medium,number theory,3,2,3,2,2,236,no_def|short
00000000144,0.6,medium,number theory,1,1,3,2,3,205,no_def|short|no_quant
00000000147,0.6,medium,number theory,3,2,3,2,3,240,no_def|short
00000000150,0.6,medium,number theory,1,1,3,2,3,161,no_def|short|no_quant
00000000151,0.6,medium,combinatorics / discrete,1,1,3,2,3,244,no_def|short|no_quant
00000000154,0.6,medium,number theory,3,2,3,2,3,232,no_def|short
00000000156,0.6,medium,probability,1,1,3,2,4,225,no_def|short|no_quant
00000000158,0.6,medium,number theory,3,3,3,3,3,248,no_def|short
00000000166,0.6,medium,number theory,1,2,3,2,2,521,no_def|vague_x3|no_quant
00000000167,0.6,medium,analysis / PDE / dynamics,2,2,1,2,3,560,meta|no_quant
00000000201,0.6,medium,number theory,3,2,1,1,1,696,meta
00000000202,0.6,medium,number theory,1,2,3,2,2,214,no_def|short|no_quant
00000000209,0.6,medium,number theory,2,2,1,2,3,434,meta|no_quant
00000000240,0.6,medium,analysis / PDE / dynamics,4,3,1,2,2,411,meta
00000000241,0.6,medium,algebra / representation theory,4,3,1,1,1,438,meta
00000000246,0.6,medium,combinatorics / discrete,3,2,3,2,2,199,no_def|short
00000000247,0.6,medium,combinatorics / discrete,4,3,1,3,4,460,meta
00000000256,0.6,medium,number theory,4,5,1,5,3,420,meta|grand
00000000267,0.6,medium,algebra / representation theory,1,1,3,2,3,227,no_def|short|no_quant
00000000276,0.6,medium,number theory,2,2,1,2,3,617,meta|no_quant
00000000277,0.6,medium,number theory,4,4,1,3,2,518,meta
00000000296,0.6,medium,logic / complexity,3,3,1,2,2,605,meta
00000000325,0.6,medium,general / other,2,1,3,2,2,233,short|no_quant
00000000341,0.6,medium,probability,1,1,3,1,2,249,no_def|short|no_quant
00000000344,0.6,medium,general / other,4,2,3,2,4,430,vague_x3
00000000346,0.6,medium,general / other,4,2,3,3,4,234,short
00000000352,0.6,medium,general / other,4,2,3,1,1,359,vague_x3
00000000364,0.6,medium,general / other,2,2,3,2,5,405,vague_x3|no_quant
00000000389,0.6,medium,analysis / PDE / dynamics,2,2,1,2,4,261,meta|no_quant
00000000392,0.6,medium,number theory,1,2,2,2,3,232,no_def|short|no_quant
00000000471,0.6,medium,combinatorics / discrete,3,3,1,1,1,534,meta
00000000478,0.6,medium,number theory,2,3,1,2,4,308,meta|no_quant
00000000509,0.6,medium,number theory,2,3,1,2,4,289,meta|no_quant
00000000537,0.6,medium,combinatorics / discrete,2,3,1,2,2,418,meta|no_quant
00000000565,0.6,medium,algebra / representation theory,2,4,1,3,4,397,meta|no_quant
00000000607,0.6,medium,number theory,3,3,3,3,3,234,no_def|short
00000000609,0.6,medium,topology / geometry,1,3,1,3,4,474,meta|no_quant
00000000622,0.6,medium,topology / geometry,3,3,3,3,3,220,no_def|short
00000000641,0.6,medium,probability,1,1,3,2,3,246,no_def|short|no_quant
00000000688,0.6,medium,topology / geometry,1,2,3,3,5,247,no_def|short|no_quant
00000000693,0.6,medium,topology / geometry,2,2,1,2,2,560,meta|no_quant
00000000704,0.6,medium,number theory,3,3,3,4,3,236,no_def|short
00000000714,0.6,medium,number theory,1,3,3,4,2,216,no_def|short|no_quant
00000000716,0.6,medium,number theory,1,3,3,4,3,230,no_def|short|no_quant
00000000720,0.6,medium,number theory,1,3,3,4,4,217,no_def|short|no_quant
00000000724,0.6,medium,number theory,1,3,3,3,2,222,no_def|short|no_quant
00000000754,0.6,medium,number theory,1,3,3,4,3,249,no_def|short|no_quant
00000000767,0.6,medium,algebraic geometry,1,1,3,2,4,236,no_def|short|no_quant
00000000794,0.6,medium,number theory,1,1,3,2,3,231,no_def|short|no_quant
00000000811,0.6,medium,analysis / PDE / dynamics,4,3,1,3,3,528,meta
00000000813,0.6,medium,topology / geometry,2,4,1,3,1,385,meta|no_quant
00000000829,0.6,medium,number theory,3,3,1,2,3,413,meta
00000000861,0.6,medium,topology / geometry,2,3,1,3,2,344,meta|no_quant
00000000869,0.6,medium,analysis / PDE / dynamics,1,1,3,2,4,215,no_def|short|no_quant
00000000887,0.6,medium,general / other,2,2,3,2,4,432,vague_x3|no_quant
00000000893,0.6,medium,number theory,1,2,3,2,4,331,no_def|vague_x3|no_quant
00000000902,0.6,medium,topology / geometry,3,3,1,2,3,570,meta
00000000936,0.6,medium,analysis / PDE / dynamics,1,1,3,2,3,232,no_def|short|no_quant
00000000951,0.6,medium,analysis / PDE / dynamics,3,3,3,2,1,231,no_def|short
00000000960,0.6,medium,analysis / PDE / dynamics,3,2,3,2,3,243,no_def|short
00000000972,0.6,medium,number theory,2,3,3,2,3,242,no_def|short
00000000989,0.6,medium,combinatorics / discrete,2,2,3,2,3,241,no_def|short
00000001032,0.6,medium,number theory,3,2,3,2,3,249,no_def|short
00000001038,0.6,medium,combinatorics / discrete,2,2,3,2,2,225,no_def|short
00000001042,0.6,medium,probability,1,1,3,2,3,242,no_def|short|no_quant
00000001060,0.6,medium,number theory,1,3,3,3,2,268,no_def|vague_x3|no_quant
00000001083,0.6,medium,combinatorics / discrete,1,1,3,2,3,210,no_def|short|no_quant
00000001095,0.6,medium,combinatorics / discrete,1,1,3,2,4,235,no_def|short|no_quant
00000001104,0.6,medium,number theory,4,3,1,2,2,572,meta
00000001110,0.6,medium,number theory,1,1,3,2,3,241,no_def|short|no_quant
00000001142,0.6,medium,algebra / representation theory,1,1,3,2,3,205,no_def|short|no_quant
00000001144,0.6,medium,algebra / representation theory,1,3,3,4,3,195,no_def|short|no_quant
00000001151,0.6,medium,algebra / representation theory,1,1,3,2,3,221,no_def|short|no_quant
00000001156,0.6,medium,probability,0,1,3,2,3,222,no_def|short|no_quant
00000001160,0.6,medium,algebra / representation theory,1,1,3,2,4,249,no_def|short|no_quant
00000001173,0.6,medium,algebra / representation theory,1,1,3,2,3,236,no_def|short|no_quant
00000001182,0.6,medium,combinatorics / discrete,1,1,3,2,3,231,no_def|short|no_quant
00000001191,0.6,medium,probability,0,1,3,2,3,205,no_def|short|no_quant
00000001220,0.6,medium,logic / complexity,1,1,3,2,2,232,no_def|short|no_quant
00000001222,0.6,medium,combinatorics / discrete,1,1,3,1,3,200,no_def|short|no_quant
00000001224,0.6,medium,combinatorics / discrete,1,1,3,2,3,210,no_def|short|no_quant
00000001226,0.6,medium,probability,0,1,3,2,3,220,no_def|short|no_quant
00000001249,0.6,medium,analysis / PDE / dynamics,1,1,3,2,4,236,no_def|short|no_quant
00000001250,0.6,medium,analysis / PDE / dynamics,1,1,3,2,4,230,no_def|short|no_quant
00000001265,0.6,medium,analysis / PDE / dynamics,1,1,3,2,3,238,no_def|short|no_quant
00000001285,0.6,medium,number theory,1,1,3,2,3,228,no_def|short|no_quant
00000001286,0.6,medium,number theory,1,2,3,3,3,204,no_def|short|no_quant
00000001319,0.6,medium,topology / geometry,4,3,1,2,2,485,meta
00000001322,0.6,medium,algebra / representation theory,1,1,3,2,4,222,no_def|short|no_quant
00000001334,0.6,medium,general / other,4,2,3,2,2,435,vague_x3
00000001345,0.6,medium,number theory,2,4,1,3,2,302,meta|no_quant
00000001383,0.6,medium,logic / complexity,1,1,3,2,4,236,no_def|short|no_quant
00000001426,0.6,medium,combinatorics / discrete,0,1,3,2,5,247,no_def|short|no_quant
00000001442,0.6,medium,combinatorics / discrete,1,1,3,2,3,238,no_def|short|no_quant
00000001443,0.6,medium,analysis / PDE / dynamics,2,2,1,2,4,545,meta|no_quant
00000001455,0.6,medium,analysis / PDE / dynamics,2,2,1,2,4,342,meta|no_quant
00000001457,0.6,medium,analysis / PDE / dynamics,2,2,1,2,3,451,meta|no_quant
00000001471,0.6,medium,general / other,2,2,3,2,3,412,vague_x3|no_quant
00000001476,0.6,medium,analysis / PDE / dynamics,3,2,3,1,1,230,no_def|short
00000001523,0.6,medium,topology / geometry,1,1,3,2,3,247,no_def|short|no_quant
00000001531,0.6,medium,number theory,4,4,1,3,2,531,meta
00000001540,0.6,medium,topology / geometry,3,4,1,4,3,534,meta
00000001546,0.6,medium,number theory,4,2,1,2,4,449,meta
00000001547,0.6,medium,analysis / PDE / dynamics,2,2,1,2,4,298,meta|no_quant
00000001556,0.6,medium,combinatorics / discrete,1,1,3,2,3,245,no_def|short|no_quant
00000001566,0.6,medium,analysis / PDE / dynamics,2,2,1,2,2,441,meta|no_quant
00000001577,0.6,medium,algebra / representation theory,3,3,1,2,2,495,meta
00000001582,0.6,medium,number theory,3,2,1,2,3,589,meta
00000001592,0.6,medium,topology / geometry,1,1,3,1,2,189,no_def|short|no_quant
00000001593,0.6,medium,algebra / representation theory,2,4,1,4,3,601,meta|no_quant
00000001600,0.6,medium,combinatorics / discrete,1,2,2,2,4,248,no_def|short|no_quant
00000001602,0.6,medium,analysis / PDE / dynamics,2,2,1,1,1,422,meta|no_quant
00000001603,0.6,medium,analysis / PDE / dynamics,2,3,1,3,3,643,meta|no_quant
00000001623,0.6,medium,analysis / PDE / dynamics,2,3,1,3,3,587,meta|no_quant
00000001628,0.6,medium,analysis / PDE / dynamics,1,2,3,2,4,350,no_def|vague_x3|no_quant
00000001634,0.6,medium,algebra / representation theory,2,2,1,2,3,433,meta|no_quant
00000001646,0.6,medium,algebraic geometry,2,3,1,3,2,480,meta|no_quant
00000001655,0.6,medium,algebraic geometry,2,4,1,3,3,544,meta|no_quant
00000001671,0.6,medium,combinatorics / discrete,2,2,1,2,4,406,meta|no_quant
00000001682,0.6,medium,combinatorics / discrete,3,2,3,2,2,247,no_def|short
00000001686,0.6,medium,combinatorics / discrete,2,2,1,2,3,462,meta|no_quant
00000001702,0.6,medium,number theory,1,1,3,2,3,247,no_def|short|no_quant
00000001723,0.6,medium,general / other,2,2,3,2,4,539,vague_x3|no_quant
00000001728,0.6,medium,probability,1,1,3,2,3,237,no_def|short|no_quant
00000001739,0.6,medium,number theory,1,2,3,3,3,229,no_def|short|no_quant
00000001740,0.6,medium,number theory,2,4,1,4,2,316,meta|no_quant
00000001785,0.6,medium,general / other,2,2,3,2,3,440,vague_x3|no_quant
00000001786,0.6,medium,general / other,2,2,3,2,3,467,vague_x3|no_quant
00000001800,0.6,medium,number theory,1,1,3,2,3,244,no_def|short|no_quant
00000001812,0.6,medium,algebra / representation theory,2,2,1,1,2,434,meta|no_quant
00000001821,0.6,medium,number theory,2,2,1,2,3,390,meta|no_quant
00000001828,0.6,medium,general / other,2,2,3,2,2,495,vague_x3|no_quant
00000001862,0.6,medium,analysis / PDE / dynamics,1,3,3,3,4,305,no_def|vague_x3|no_quant
00000001866,0.6,medium,probability,2,3,1,3,3,509,meta|no_quant
00000001868,0.6,medium,number theory,2,4,1,4,3,421,meta|no_quant
00000001870,0.6,medium,probability,2,2,1,2,3,384,meta|no_quant
00000001910,0.6,medium,general / other,2,2,3,2,4,357,vague_x3|no_quant
00000001914,0.6,medium,general / other,1,1,3,2,3,358,vague_x3|no_quant
00000001915,0.6,medium,algebra / representation theory,3,3,3,3,4,239,no_def|short
00000001925,0.6,medium,number theory,1,2,3,3,5,239,no_def|short|no_quant
00000001935,0.6,medium,topology / geometry,4,3,1,2,3,469,meta
00000001948,0.6,medium,topology / geometry,1,2,3,3,2,245,no_def|short|no_quant
00000001950,0.6,medium,number theory,3,3,3,3,5,234,no_def|short
00000001958,0.6,medium,analysis / PDE / dynamics,1,1,3,2,3,228,no_def|short|no_quant
00000001997,0.6,medium,algebra / representation theory,3,2,3,2,3,244,no_def|short
00000001999,0.6,medium,general / other,2,2,3,2,5,518,vague_x3|no_quant
00000002004,0.6,medium,general / other,2,2,3,2,4,467,vague_x3|no_quant
00000002021,0.6,medium,number theory,3,3,1,3,4,444,meta
00000002026,0.6,medium,number theory,1,1,3,2,5,215,no_def|short|no_quant
00000002065,0.6,medium,algebraic geometry,2,2,1,2,3,440,meta|no_quant
00000002148,0.6,medium,combinatorics / discrete,2,2,1,2,4,358,meta|no_quant
00000002184,0.6,medium,combinatorics / discrete,1,2,3,2,4,211,no_def|short|no_quant
00000002207,0.6,medium,algebra / representation theory,1,1,3,2,3,228,no_def|short|no_quant
00000002216,0.6,medium,number theory,1,1,3,2,4,244,no_def|short|no_quant
00000002257,0.6,medium,analysis / PDE / dynamics,2,3,1,2,3,428,meta|no_quant
00000002262,0.6,medium,analysis / PDE / dynamics,4,4,1,3,4,327,meta
00000002267,0.6,medium,number theory,1,3,3,3,3,327,no_def|vague_x3|no_quant
00000002289,0.6,medium,probability,4,4,1,4,3,332,meta
00000002432,0.6,medium,algebraic geometry,1,3,3,3,2,265,no_def|vague_x3|no_quant
00000002518,0.6,medium,general / other,2,2,3,2,4,413,vague_x3|no_quant
00000002562,0.6,medium,general / other,4,2,3,2,3,456,vague_x3
00000002564,0.6,medium,general / other,4,2,3,2,2,434,vague_x3
00000002593,0.6,medium,probability,2,2,1,2,3,597,meta
00000002742,0.6,medium,general / other,1,2,3,2,3,536,vague_x3|no_quant
00000002773,0.6,medium,general / other,4,3,3,2,3,670,vague_x3
00000003068,0.6,medium,general / other,4,2,3,2,4,546,vague_x3
00000003445,0.6,medium,general / other,2,2,3,2,5,403,vague_x3|no_quant
00000003633,0.6,medium,general / other,2,2,3,2,5,420,vague_x3|no_quant
00000003816,0.6,medium,general / other,2,2,3,2,4,451,vague_x3|no_quant
00000003977,0.6,medium,general / other,2,2,3,2,2,438,vague_x3|no_quant
00000003984,0.6,medium,probability,3,3,1,2,2,552,meta
00000003988,0.6,medium,general / other,4,3,3,2,3,406,vague_x3
00000003995,0.6,medium,general / other,2,2,3,2,2,443,vague_x3|no_quant
00000003999,0.6,medium,general / other,4,3,3,2,2,480,vague_x3
00000004012,0.6,medium,general / other,2,2,3,2,3,460,vague_x3|no_quant
00000004035,0.6,medium,algebra / representation theory,2,3,1,3,3,550,meta|no_quant
00000004154,0.6,medium,general / other,4,2,3,2,2,444,vague_x3
00000004208,0.6,medium,general / other,2,2,3,2,4,432,vague_x3|no_quant
00000004236,0.6,medium,general / other,2,2,3,2,2,442,vague_x3|no_quant
00000004257,0.6,medium,general / other,2,2,3,2,5,492,vague_x3|no_quant
00000004321,0.6,medium,general / other,2,2,3,2,3,444,vague_x3|no_quant
00000004374,0.6,medium,number theory,4,3,1,2,2,566,meta
00000004436,0.6,medium,probability,2,2,1,2,4,464,meta|no_quant
00000004441,0.6,medium,general / other,2,2,3,2,3,466,vague_x3|no_quant
00000004583,0.6,medium,general / other,2,2,3,2,4,455,vague_x3|no_quant
00000004615,0.6,medium,number theory,3,3,1,2,3,539,meta
00000004642,0.6,medium,algebra / representation theory,2,2,1,2,4,461,meta|no_quant
00000004668,0.6,medium,general / other,2,2,2,2,5,480,vague_x3|no_quant
00000004805,0.6,medium,algebraic geometry,3,3,1,2,4,436,meta
00000004838,0.6,medium,general / other,2,2,3,2,4,423,vague_x3|no_quant
00000004908,0.6,medium,general / other,2,2,3,2,5,494,vague_x3|no_quant
00000004910,0.6,medium,general / other,4,2,3,2,3,486,vague_x3
00000004918,0.6,medium,general / other,2,2,3,2,4,413,vague_x3|no_quant
00000004945,0.6,medium,general / other,2,2,3,1,2,706,vague_x3|no_quant
00000004955,0.6,medium,topology / geometry,4,3,1,1,1,724,meta
00000004978,0.6,medium,general / other,2,2,3,2,4,455,vague_x3|no_quant
00000004993,0.6,medium,topology / geometry,2,2,1,2,3,737,meta|no_quant
00000005047,0.6,medium,combinatorics / discrete,2,2,1,2,5,411,meta|no_quant
00000005116,0.6,medium,general / other,2,2,3,2,4,448,vague_x3|no_quant
00000005136,0.6,medium,general / other,2,2,3,2,5,388,vague_x3|no_quant
00000005172,0.6,medium,general / other,2,2,3,2,3,434,vague_x3|no_quant
00000005184,0.6,medium,general / other,2,2,3,2,4,395,vague_x3|no_quant
00000005277,0.6,medium,general / other,2,2,3,2,4,435,vague_x3|no_quant
00000005374,0.6,medium,combinatorics / discrete,2,3,1,2,4,576,meta|no_quant
00000005457,0.6,medium,general / other,2,2,3,1,2,418,vague_x3|no_quant
00000005486,0.6,medium,general / other,2,2,3,2,5,442,vague_x3|no_quant
00000005624,0.6,medium,analysis / PDE / dynamics,3,3,1,2,4,448,meta
00000005712,0.6,medium,general / other,2,2,3,2,4,439,vague_x3|no_quant
00000005729,0.6,medium,general / other,4,2,3,2,3,650,vague_x3
00000005868,0.6,medium,general / other,2,2,2,2,4,387,vague_x3|no_quant
00000005872,0.6,medium,general / other,2,2,3,2,4,416,vague_x3|no_quant
00000005875,0.6,medium,general / other,2,2,2,2,5,410,vague_x3|no_quant
00000005876,0.6,medium,general / other,2,2,2,2,4,627,vague_x3|no_quant
00000005877,0.6,medium,general / other,2,2,3,2,5,421,vague_x3|no_quant
00000005879,0.6,medium,general / other,2,2,3,2,5,390,vague_x3|no_quant
