id,well_definedness_level,importance,novelty,proof_difficulty,disproof_difficulty,proven,disproven,first_submission_time,completed_by_ai
00000000112,,,,,,false,false,,false
00000000113,,,,,,false,false,,false
00000000114,,,,,,false,false,,false
00000000115,,,,,,false,false,,false
00000000116,,,,,,false,false,,false
00000000117,,,,,,false,false,,false
00000000118,,,,,,false,false,,false
00000000119,,,,,,false,false,,false
00000000120,,,,,,false,false,,false
00000000121,,,,,,false,false,,false
00000000122,,,,,,false,false,,false
00000000123,,,,,,false,false,,false
00000000124,,,,,,false,false,,false
00000000125,,,,,,false,false,,false
00000000126,,,,,,false,false,,false
00000000127,,,,,,false,false,,false
00000000128,,,,,,false,false,,false
00000000129,,,,,,false,false,,false
00000000130,,,,,,false,false,,false
00000000131,,,,,,false,false,,false
00000000132,,,,,,false,false,,false
00000000133,,,,,,false,false,,false
00000000134,,,,,,false,false,,false
00000000135,,,,,,false,false,,false
00000000136,,,,,,false,false,,false
00000000137,,,,,,false,false,,false
00000000138,,,,,,false,false,,false
00000000139,,,,,,false,false,,false
00000000140,,,,,,false,false,,false
00000000141,,,,,,false,false,,false
00000000142,,,,,,false,false,,false
00000000143,,,,,,false,false,,false
00000000144,,,,,,false,false,,false
00000000145,,,,,,false,false,,false
00000000146,,,,,,false,false,,false
00000000147,,,,,,false,false,,false
00000000148,,,,,,false,false,,false
00000000149,,,,,,false,false,,false
00000000150,,,,,,false,false,,false
00000000151,,,,,,false,false,,false
00000000152,,,,,,false,false,,false
00000000153,,,,,,false,false,,false
00000000154,,,,,,false,false,,false
00000000155,,,,,,false,false,,false
00000000156,,,,,,false,false,,false
00000000157,,,,,,false,false,,false
00000000158,,,,,,false,false,,false
00000000159,,,,,,false,false,,false
00000000160,,,,,,false,false,,false
00000000161,,,,,,false,false,,false
00000000162,,,,,,false,false,,false
00000000163,,,,,,false,false,,false
00000000164,,,,,,false,false,,false
00000000165,,,,,,false,false,,false
00000000166,,,,,,false,false,,false
00000000167,,,,,,false,false,,false
00000000168,,,,,,false,false,,false
00000000169,,,,,,false,false,,false
00000000170,,,,,,false,false,,false
00000000171,,,,,,false,false,,false
00000000172,,,,,,false,false,,false
00000000173,,,,,,false,false,,false
00000000174,,,,,,false,false,,false
00000000175,,,,,,false,false,,false
00000000176,,,,,,false,false,,false
00000000177,,,,,,false,false,,false
00000000178,,,,,,false,false,,false
00000000179,,,,,,false,false,,false
00000000180,,,,,,false,false,,false
00000000181,,,,,,false,false,,false
00000000182,,,,,,false,false,,false
00000000183,,,,,,false,false,,false
00000000184,,,,,,false,false,,false
00000000185,,,,,,false,false,,false
00000000186,,,,,,false,false,,false
00000000187,,,,,,false,false,,false
00000000188,,,,,,false,false,,false
00000000189,,,,,,false,false,,false
00000000190,,,,,,false,false,,false
00000000191,,,,,,false,false,,false
00000000192,,,,,,false,false,,false
00000000193,,,,,,false,false,,false
00000000194,,,,,,false,false,,false
00000000195,,,,,,false,false,,false
00000000196,,,,,,false,false,,false
00000000197,,,,,,false,false,,false
00000000198,,,,,,false,false,,false
00000000199,,,,,,false,false,,false
00000000200,,,,,,false,false,,false
00000000201,,,,,,false,false,,false
00000000202,,,,,,false,false,,false
00000000203,,,,,,false,false,,false
00000000204,,,,,,false,false,,false
00000000205,,,,,,false,false,,false
00000000206,,,,,,false,false,,false
00000000207,,,,,,false,false,,false
00000000208,,,,,,false,false,,false
00000000209,,,,,,false,false,,false
00000000210,,,,,,false,false,,false
00000000211,,,,,,false,false,,false
00000000212,,,,,,false,false,,false
00000000213,,,,,,false,false,,false
00000000214,,,,,,false,false,,false
00000000215,,,,,,false,false,,false
00000000216,,,,,,false,false,,false
00000000217,,,,,,false,false,,false
00000000218,,,,,,false,false,,false
00000000219,,,,,,false,false,,false
00000000220,,,,,,false,false,,false
00000000221,,,,,,false,false,,false
00000000222,,,,,,false,false,,false
00000000223,,,,,,false,false,,false
00000000224,,,,,,false,false,,false
00000000225,,,,,,false,false,,false
00000000226,,,,,,false,false,,false
00000000227,,,,,,false,false,,false
00000000228,,,,,,false,false,,false
00000000229,,,,,,false,false,,false
00000000230,,,,,,false,false,,false
00000000231,,,,,,false,false,,false
00000000232,,,,,,false,false,,false
00000000233,,,,,,false,false,,false
00000000234,,,,,,false,false,,false
00000000235,,,,,,false,false,,false
00000000236,,,,,,false,false,,false
00000000237,,,,,,false,false,,false
00000000238,,,,,,false,false,,false
00000000239,,,,,,false,false,,false
00000000240,,,,,,false,false,,false
00000000241,,,,,,false,false,,false
00000000242,,,,,,false,false,,false
00000000243,,,,,,false,false,,false
00000000244,,,,,,false,false,,false
00000000245,,,,,,false,false,,false
00000000246,,,,,,false,false,,false
00000000247,,,,,,false,false,,false
00000000248,,,,,,false,false,,false
00000000249,,,,,,false,false,,false
00000000250,,,,,,false,false,,false
00000000251,,,,,,false,false,,false
00000000252,,,,,,false,false,,false
00000000253,,,,,,false,false,,false
00000000254,,,,,,false,false,,false
00000000255,,,,,,false,false,,false
00000000256,,,,,,false,false,,false
00000000257,,,,,,false,false,,false
00000000258,,,,,,false,false,,false
00000000259,,,,,,false,false,,false
00000000260,,,,,,false,false,,false
00000000261,,,,,,false,false,,false
00000000262,,,,,,false,false,,false
00000000263,,,,,,false,false,,false
00000000264,,,,,,false,false,,false
00000000265,,,,,,false,false,,false
00000000266,,,,,,false,false,,false
00000000267,,,,,,false,false,,false
00000000268,,,,,,false,false,,false
00000000269,,,,,,false,false,,false
00000000270,,,,,,false,false,,false
00000000271,,,,,,false,false,,false
00000000272,,,,,,false,false,,false
00000000273,,,,,,false,false,,false
00000000274,,,,,,false,false,,false
00000000275,,,,,,false,false,,false
00000000276,,,,,,false,false,,false
00000000277,,,,,,false,false,,false
00000000278,,,,,,false,false,,false
00000000279,,,,,,false,false,,false
00000000280,,,,,,false,false,,false
00000000281,,,,,,false,false,,false
00000000282,,,,,,false,false,,false
00000000283,,,,,,false,false,,false
00000000284,,,,,,false,false,,false
00000000285,,,,,,false,false,,false
00000000286,,,,,,false,false,,false
00000000287,,,,,,false,false,,false
00000000288,,,,,,false,false,,false
00000000289,,,,,,false,false,,false
00000000290,,,,,,false,false,,false
00000000291,,,,,,false,false,,false
00000000292,,,,,,false,false,,false
00000000293,,,,,,false,false,,false
00000000294,,,,,,false,false,,false
00000000295,,,,,,false,false,,false
00000000296,,,,,,false,false,,false
00000000297,,,,,,false,false,,false
00000000298,,,,,,false,false,,false
00000000299,,,,,,false,false,,false
00000000300,,,,,,false,false,,false
00000000301,,,,,,false,false,,false
00000000302,,,,,,false,false,,false
00000000303,,,,,,false,false,,false
00000000304,,,,,,false,false,,false
00000000305,,,,,,false,false,,false
00000000306,,,,,,false,false,,false
00000000307,,,,,,false,false,,false
00000000308,,,,,,false,false,,false
00000000309,,,,,,false,false,,false
00000000310,,,,,,false,false,,false
00000000311,,,,,,false,false,,false
00000000312,,,,,,false,false,,false
00000000313,,,,,,false,false,,false
00000000314,,,,,,false,false,,false
00000000315,,,,,,false,false,,false
00000000316,,,,,,false,false,,false
00000000317,,,,,,false,false,,false
00000000318,,,,,,false,false,,false
00000000319,,,,,,false,false,,false
00000000320,,,,,,false,false,,false
00000000321,,,,,,false,false,,false
00000000322,,,,,,false,false,,false
00000000323,,,,,,false,false,,false
00000000324,,,,,,false,false,,false
00000000325,,,,,,false,false,,false
00000000326,,,,,,false,false,,false
00000000327,,,,,,false,false,,false
00000000328,,,,,,false,false,,false
00000000329,,,,,,false,false,,false
00000000330,,,,,,false,false,,false
00000000331,,,,,,false,false,,false
00000000332,,,,,,false,false,,false
00000000333,,,,,,false,false,,false
00000000334,,,,,,false,false,,false
00000000335,,,,,,false,false,,false
00000000336,,,,,,false,false,,false
00000000337,,,,,,false,false,,false
00000000338,,,,,,false,false,,false
00000000339,,,,,,false,false,,false
00000000340,,,,,,false,false,,false
00000000341,,,,,,false,false,,false
00000000342,,,,,,false,false,,false
00000000343,,,,,,false,false,,false
00000000344,,,,,,false,false,,false
00000000345,,,,,,false,false,,false
00000000346,,,,,,false,false,,false
00000000347,,,,,,false,false,,false
00000000348,,,,,,false,false,,false
00000000349,,,,,,false,false,,false
00000000350,,,,,,false,false,,false
00000000351,,,,,,false,false,,false
00000000352,,,,,,false,false,,false
00000000353,,,,,,false,false,,false
00000000354,,,,,,false,false,,false
00000000355,,,,,,false,false,,false
00000000356,,,,,,false,false,,false
00000000357,,,,,,false,false,,false
00000000358,,,,,,false,false,,false
00000000359,,,,,,false,false,,false
00000000360,,,,,,false,false,,false
00000000361,,,,,,false,false,,false
00000000362,,,,,,false,false,,false
00000000363,,,,,,false,false,,false
00000000364,,,,,,false,false,,false
00000000365,,,,,,false,false,,false
00000000366,,,,,,false,false,,false
00000000367,,,,,,false,false,,false
00000000368,,,,,,false,false,,false
00000000369,,,,,,false,false,,false
00000000370,,,,,,false,false,,false
00000000371,,,,,,false,false,,false
00000000372,,,,,,false,false,,false
00000000373,,,,,,false,false,,false
00000000374,,,,,,false,false,,false
00000000375,,,,,,false,false,,false
00000000376,,,,,,false,false,,false
00000000377,,,,,,false,false,,false
00000000378,,,,,,false,false,,false
00000000379,,,,,,false,false,,false
00000000380,,,,,,false,false,,false
00000000381,,,,,,false,false,,false
00000000382,,,,,,false,false,,false
00000000383,,,,,,false,false,,false
00000000384,,,,,,false,false,,false
00000000385,,,,,,false,false,,false
00000000386,,,,,,false,false,,false
00000000387,,,,,,false,false,,false
00000000388,,,,,,false,false,,false
00000000389,,,,,,false,false,,false
00000000390,,,,,,false,false,,false
00000000391,,,,,,false,false,,false
00000000392,,,,,,false,false,,false
00000000393,,,,,,false,false,,false
00000000394,,,,,,false,false,,false
00000000395,,,,,,false,false,,false
00000000396,,,,,,false,false,,false
00000000397,,,,,,false,false,,false
00000000398,,,,,,false,false,,false
00000000399,,,,,,false,false,,false
00000000400,,,,,,false,false,,false
00000000401,,,,,,false,false,,false
00000000402,,,,,,false,false,,false
00000000403,,,,,,false,false,,false
00000000404,,,,,,false,false,,false
00000000405,,,,,,false,false,,false
00000000406,,,,,,false,false,,false
00000000407,,,,,,false,false,,false
00000000408,,,,,,false,false,,false
00000000409,,,,,,false,false,,false
00000000410,,,,,,false,false,,false
00000000411,,,,,,false,false,,false
00000000412,,,,,,false,false,,false
00000000413,,,,,,false,false,,false
00000000414,,,,,,false,false,,false
00000000415,,,,,,false,false,,false
00000000416,,,,,,false,false,,false
00000000417,,,,,,false,false,,false
00000000418,,,,,,false,false,,false
00000000419,,,,,,false,false,,false
00000000420,,,,,,false,false,,false
00000000421,,,,,,false,false,,false
00000000422,,,,,,false,false,,false
00000000423,,,,,,false,false,,false
00000000424,,,,,,false,false,,false
00000000425,,,,,,false,false,,false
00000000426,,,,,,false,false,,false
00000000427,,,,,,false,false,,false
00000000428,,,,,,false,false,,false
00000000429,,,,,,false,false,,false
00000000430,,,,,,false,false,,false
00000000431,,,,,,false,false,,false
00000000432,,,,,,false,false,,false
00000000433,,,,,,false,false,,false
00000000434,,,,,,false,false,,false
00000000435,,,,,,false,false,,false
00000000436,,,,,,false,false,,false
00000000437,,,,,,false,false,,false
00000000438,,,,,,false,false,,false
00000000439,,,,,,false,false,,false
00000000440,,,,,,false,false,,false
00000000441,,,,,,false,false,,false
00000000442,,,,,,false,false,,false
00000000443,,,,,,false,false,,false
00000000444,,,,,,false,false,,false
00000000445,,,,,,false,false,,false
00000000446,,,,,,false,false,,false
00000000447,,,,,,false,false,,false
00000000448,,,,,,false,false,,false
00000000449,,,,,,false,false,,false
00000000450,,,,,,false,false,,false
00000000451,,,,,,false,false,,false
00000000452,,,,,,false,false,,false
00000000453,,,,,,false,false,,false
00000000454,,,,,,false,false,,false
00000000455,,,,,,false,false,,false
00000000456,,,,,,false,false,,false
00000000457,,,,,,false,false,,false
00000000458,,,,,,false,false,,false
00000000459,,,,,,false,false,,false
00000000460,,,,,,false,false,,false
00000000461,,,,,,false,false,,false
00000000462,,,,,,false,false,,false
00000000463,,,,,,false,false,,false
00000000464,,,,,,false,false,,false
00000000465,,,,,,false,false,,false
00000000466,,,,,,false,false,,false
00000000467,,,,,,false,false,,false
00000000468,,,,,,false,false,,false
00000000469,,,,,,false,false,,false
00000000470,,,,,,false,false,,false
00000000471,,,,,,false,false,,false
00000000472,,,,,,false,false,,false
00000000473,,,,,,false,false,,false
00000000474,,,,,,false,false,,false
00000000475,,,,,,false,false,,false
00000000476,,,,,,false,false,,false
00000000477,,,,,,false,false,,false
00000000478,,,,,,false,false,,false
00000000479,,,,,,false,false,,false
00000000480,,,,,,false,false,,false
00000000481,,,,,,false,false,,false
00000000482,,,,,,false,false,,false
00000000483,,,,,,false,false,,false
00000000484,,,,,,false,false,,false
00000000485,,,,,,false,false,,false
00000000486,,,,,,false,false,,false
00000000487,,,,,,false,false,,false
00000000488,,,,,,false,false,,false
00000000489,,,,,,false,false,,false
00000000490,,,,,,false,false,,false
00000000491,,,,,,false,false,,false
00000000492,,,,,,false,false,,false
00000000493,,,,,,false,false,,false
00000000494,,,,,,false,false,,false
00000000495,,,,,,false,false,,false
00000000496,,,,,,false,false,,false
00000000497,,,,,,false,false,,false
00000000498,,,,,,false,false,,false
00000000499,,,,,,false,false,,false
00000000500,,,,,,false,false,,false
00000000501,,,,,,false,false,,false
00000000502,,,,,,false,false,,false
00000000503,,,,,,false,false,,false
00000000504,,,,,,false,false,,false
00000000505,,,,,,false,false,,false
00000000506,,,,,,false,false,,false
00000000507,,,,,,false,false,,false
00000000508,,,,,,false,false,,false
00000000509,,,,,,false,false,,false
00000000510,,,,,,false,false,,false
00000000511,,,,,,false,false,,false
00000000512,,,,,,false,false,,false
00000000513,,,,,,false,false,,false
00000000514,,,,,,false,false,,false
00000000515,,,,,,false,false,,false
00000000516,,,,,,false,false,,false
00000000517,,,,,,false,false,,false
00000000518,,,,,,false,false,,false
00000000519,,,,,,false,false,,false
00000000520,,,,,,false,false,,false
00000000521,,,,,,false,false,,false
00000000522,,,,,,false,false,,false
00000000523,,,,,,false,false,,false
00000000524,,,,,,false,false,,false
00000000525,,,,,,false,false,,false
00000000526,,,,,,false,false,,false
00000000527,,,,,,false,false,,false
00000000528,,,,,,false,false,,false
00000000529,,,,,,false,false,,false
00000000530,,,,,,false,false,,false
00000000531,,,,,,false,false,,false
00000000532,,,,,,false,false,,false
00000000533,,,,,,false,false,,false
00000000534,,,,,,false,false,,false
00000000535,,,,,,false,false,,false
00000000536,,,,,,false,false,,false
00000000537,,,,,,false,false,,false
00000000538,,,,,,false,false,,false
00000000539,,,,,,false,false,,false
00000000540,,,,,,false,false,,false
00000000541,,,,,,false,false,,false
00000000542,,,,,,false,false,,false
00000000543,,,,,,false,false,,false
00000000544,,,,,,false,false,,false
00000000545,,,,,,false,false,,false
00000000546,,,,,,false,false,,false
00000000547,,,,,,false,false,,false
00000000548,,,,,,false,false,,false
00000000549,,,,,,false,false,,false
00000000550,,,,,,false,false,,false
00000000551,,,,,,false,false,,false
00000000552,,,,,,false,false,,false
00000000553,,,,,,false,false,,false
00000000554,,,,,,false,false,,false
00000000555,,,,,,false,false,,false
00000000556,,,,,,false,false,,false
00000000557,,,,,,false,false,,false
00000000558,,,,,,false,false,,false
00000000559,,,,,,false,false,,false
00000000560,,,,,,false,false,,false
00000000561,,,,,,false,false,,false
00000000562,,,,,,false,false,,false
00000000563,,,,,,false,false,,false
00000000564,,,,,,false,false,,false
00000000565,,,,,,false,false,,false
00000000566,,,,,,false,false,,false
00000000567,,,,,,false,false,,false
00000000568,,,,,,false,false,,false
00000000569,,,,,,false,false,,false
00000000570,,,,,,false,false,,false
00000000571,,,,,,false,false,,false
00000000572,,,,,,false,false,,false
00000000573,,,,,,false,false,,false
00000000574,,,,,,false,false,,false
00000000575,,,,,,false,false,,false
00000000576,,,,,,false,false,,false
00000000577,,,,,,false,false,,false
00000000578,,,,,,false,false,,false
00000000579,,,,,,false,false,,false
00000000580,,,,,,false,false,,false
00000000581,,,,,,false,false,,false
00000000582,,,,,,false,false,,false
00000000583,,,,,,false,false,,false
00000000584,,,,,,false,false,,false
00000000585,,,,,,false,false,,false
00000000586,,,,,,false,false,,false
00000000587,,,,,,false,false,,false
00000000588,,,,,,false,false,,false
00000000589,,,,,,false,false,,false
00000000590,,,,,,false,false,,false
00000000591,,,,,,false,false,,false
00000000592,,,,,,false,false,,false
00000000593,,,,,,false,false,,false
00000000594,,,,,,false,false,,false
00000000595,,,,,,false,false,,false
00000000596,,,,,,false,false,,false
00000000597,,,,,,false,false,,false
00000000598,,,,,,false,false,,false
00000000599,,,,,,false,false,,false
00000000600,,,,,,false,false,,false
00000000601,,,,,,false,false,,false
00000000602,,,,,,false,false,,false
00000000603,,,,,,false,false,,false
00000000604,,,,,,false,false,,false
00000000605,,,,,,false,false,,false
00000000606,,,,,,false,false,,false
00000000607,,,,,,false,false,,false
00000000608,,,,,,false,false,,false
00000000609,,,,,,false,false,,false
00000000610,,,,,,false,false,,false
00000000611,,,,,,false,false,,false
00000000612,,,,,,false,false,,false
00000000613,,,,,,false,false,,false
00000000614,,,,,,false,false,,false
00000000615,,,,,,false,false,,false
00000000616,,,,,,false,false,,false
00000000617,,,,,,false,false,,false
00000000618,,,,,,false,false,,false
00000000619,,,,,,false,false,,false
00000000620,,,,,,false,false,,false
00000000621,,,,,,false,false,,false
00000000622,,,,,,false,false,,false
00000000623,,,,,,false,false,,false
00000000624,,,,,,false,false,,false
00000000625,,,,,,false,false,,false
00000000626,,,,,,false,false,,false
00000000627,,,,,,false,false,,false
00000000628,,,,,,false,false,,false
00000000629,,,,,,false,false,,false
00000000630,,,,,,false,false,,false
00000000631,,,,,,false,false,,false
00000000632,,,,,,false,false,,false
00000000633,,,,,,false,false,,false
00000000634,,,,,,false,false,,false
00000000635,,,,,,false,false,,false
00000000636,,,,,,false,false,,false
00000000637,,,,,,false,false,,false
00000000638,,,,,,false,false,,false
00000000639,,,,,,false,false,,false
00000000640,,,,,,false,false,,false
00000000641,,,,,,false,false,,false
00000000642,,,,,,false,false,,false
00000000643,,,,,,false,false,,false
00000000644,,,,,,false,false,,false
00000000645,,,,,,false,false,,false
00000000646,,,,,,false,false,,false
00000000647,,,,,,false,false,,false
00000000648,,,,,,false,false,,false
00000000649,,,,,,false,false,,false
00000000650,,,,,,false,false,,false
00000000651,,,,,,false,false,,false
00000000652,,,,,,false,false,,false
00000000653,,,,,,false,false,,false
00000000654,,,,,,false,false,,false
00000000655,,,,,,false,false,,false
00000000656,,,,,,false,false,,false
00000000657,,,,,,false,false,,false
00000000658,,,,,,false,false,,false
00000000659,,,,,,false,false,,false
00000000660,,,,,,false,false,,false
00000000661,,,,,,false,false,,false
00000000662,,,,,,false,false,,false
00000000663,,,,,,false,false,,false
00000000664,,,,,,false,false,,false
00000000665,,,,,,false,false,,false
00000000666,,,,,,false,false,,false
00000000667,,,,,,false,false,,false
00000000668,,,,,,false,false,,false
00000000669,,,,,,false,false,,false
00000000670,,,,,,false,false,,false
00000000671,,,,,,false,false,,false
00000000672,,,,,,false,false,,false
00000000673,,,,,,false,false,,false
00000000674,,,,,,false,false,,false
00000000675,,,,,,false,false,,false
00000000676,,,,,,false,false,,false
00000000677,,,,,,false,false,,false
00000000678,,,,,,false,false,,false
00000000679,,,,,,false,false,,false
00000000680,,,,,,false,false,,false
00000000681,,,,,,false,false,,false
00000000682,,,,,,false,false,,false
00000000683,,,,,,false,false,,false
00000000684,,,,,,false,false,,false
00000000685,,,,,,false,false,,false
00000000686,,,,,,false,false,,false
00000000687,,,,,,false,false,,false
00000000688,,,,,,false,false,,false
00000000689,,,,,,false,false,,false
00000000690,,,,,,false,false,,false
00000000691,,,,,,false,false,,false
00000000692,,,,,,false,false,,false
00000000693,,,,,,false,false,,false
00000000694,,,,,,false,false,,false
00000000695,,,,,,false,false,,false
00000000696,,,,,,false,false,,false
00000000697,,,,,,false,false,,false
00000000698,,,,,,false,false,,false
00000000699,,,,,,false,false,,false
00000000700,,,,,,false,false,,false
00000000701,,,,,,false,false,,false
00000000702,,,,,,false,false,,false
00000000703,,,,,,false,false,,false
00000000704,,,,,,false,false,,false
00000000705,,,,,,false,false,,false
00000000706,,,,,,false,false,,false
00000000707,,,,,,false,false,,false
00000000708,,,,,,false,false,,false
00000000709,,,,,,false,false,,false
00000000710,,,,,,false,false,,false
00000000711,,,,,,false,false,,false
00000000712,,,,,,false,false,,false
00000000713,,,,,,false,false,,false
00000000714,,,,,,false,false,,false
00000000715,,,,,,false,false,,false
00000000716,,,,,,false,false,,false
00000000717,,,,,,false,false,,false
00000000718,,,,,,false,false,,false
00000000719,,,,,,false,false,,false
00000000720,,,,,,false,false,,false
00000000721,,,,,,false,false,,false
00000000722,,,,,,false,false,,false
00000000723,,,,,,false,false,,false
00000000724,,,,,,false,false,,false
00000000725,,,,,,false,false,,false
00000000726,,,,,,false,false,,false
00000000727,,,,,,false,false,,false
00000000728,,,,,,false,false,,false
00000000729,,,,,,false,false,,false
00000000730,,,,,,false,false,,false
00000000731,,,,,,false,false,,false
00000000732,,,,,,false,false,,false
00000000733,,,,,,false,false,,false
00000000734,,,,,,false,false,,false
00000000735,,,,,,false,false,,false
00000000736,,,,,,false,false,,false
00000000737,,,,,,false,false,,false
00000000738,,,,,,false,false,,false
00000000739,,,,,,false,false,,false
00000000740,,,,,,false,false,,false
00000000741,,,,,,false,false,,false
00000000742,,,,,,false,false,,false
00000000743,,,,,,false,false,,false
00000000744,,,,,,false,false,,false
00000000745,,,,,,false,false,,false
00000000746,,,,,,false,false,,false
00000000747,,,,,,false,false,,false
00000000748,,,,,,false,false,,false
00000000749,,,,,,false,false,,false
00000000750,,,,,,false,false,,false
00000000751,,,,,,false,false,,false
00000000752,,,,,,false,false,,false
00000000753,,,,,,false,false,,false
00000000754,,,,,,false,false,,false
00000000755,,,,,,false,false,,false
00000000756,,,,,,false,false,,false
00000000757,,,,,,false,false,,false
00000000758,,,,,,false,false,,false
00000000759,,,,,,false,false,,false
00000000760,,,,,,false,false,,false
00000000761,,,,,,false,false,,false
00000000762,,,,,,false,false,,false
00000000763,,,,,,false,false,,false
00000000764,,,,,,false,false,,false
00000000765,,,,,,false,false,,false
00000000766,,,,,,false,false,,false
00000000767,,,,,,false,false,,false
00000000768,,,,,,false,false,,false
00000000769,,,,,,false,false,,false
00000000770,,,,,,false,false,,false
00000000771,,,,,,false,false,,false
00000000772,,,,,,false,false,,false
00000000773,,,,,,false,false,,false
00000000774,,,,,,false,false,,false
00000000775,,,,,,false,false,,false
00000000776,,,,,,false,false,,false
00000000777,,,,,,false,false,,false
00000000778,,,,,,false,false,,false
00000000779,,,,,,false,false,,false
00000000780,,,,,,false,false,,false
00000000781,,,,,,false,false,,false
00000000782,,,,,,false,false,,false
00000000783,,,,,,false,false,,false
00000000784,,,,,,false,false,,false
00000000785,,,,,,false,false,,false
00000000786,,,,,,false,false,,false
00000000787,,,,,,false,false,,false
00000000788,,,,,,false,false,,false
00000000789,,,,,,false,false,,false
00000000790,,,,,,false,false,,false
00000000791,,,,,,false,false,,false
00000000792,,,,,,false,false,,false
00000000793,,,,,,false,false,,false
00000000794,,,,,,false,false,,false
00000000795,,,,,,false,false,,false
00000000796,,,,,,false,false,,false
00000000797,,,,,,false,false,,false
00000000798,,,,,,false,false,,false
00000000799,,,,,,false,false,,false
00000000800,,,,,,false,false,,false
00000000801,,,,,,false,false,,false
00000000802,,,,,,false,false,,false
00000000803,,,,,,false,false,,false
00000000804,,,,,,false,false,,false
00000000805,,,,,,false,false,,false
00000000806,,,,,,false,false,,false
00000000807,,,,,,false,false,,false
00000000808,,,,,,false,false,,false
00000000809,,,,,,false,false,,false
00000000810,,,,,,false,false,,false
00000000811,,,,,,false,false,,false
00000000812,,,,,,false,false,,false
00000000813,,,,,,false,false,,false
00000000814,,,,,,false,false,,false
00000000815,,,,,,false,false,,false
00000000816,,,,,,false,false,,false
